Symbol,EPSscore,Compscore
COF 84 94,
COKE 96 94,
COMP 54 94,
CPNG 39 94,
CWENA 97 94,
DCTH 61 94,
DSEY 71 94,
EAT 96 94,
ELMD 87 94,
FOUR 99 94,
FTK 81 94,
GIL 88 94,
GS 86 94,
HESM 93 94,
HNVR 79 94,
IIIV 63 94,
INTA 80 94,
ITRN 82 94,
JWN 95 94,
LGCY 87 94,
LGND 91 94,
LLY 95 94,
MCRI 93 94,
NTRS 90 94,
OGE 65 94,
PBPB 71 94,
PBT 97 94,
ROKU 57 94,
RY 87 94,
SBS 94 94,
SF 91 94,
SMCI 99 94,
SN 93 94,
TLN 52 94,
TRIN 72 94,
TXNM 82 94,
VERX 93 94,
WDAY 97 94,
WH 83 94,
YY 76 94,
ADP 86 93,
AFRM 67 93,
AJG 93 93,
ALAB 81 93,
ASM 52 93,
ATRO 81 93,
AXGN 81 93,
BFST 70 93,
BGC 93 93,
CHEF 89 93,
CM 89 93,
CNK 81 93,
CSGS 89 93,
CWEN 97 93,
CYBR 43 93,
CYD 70 93,
DOCN 94 93,
DRI 78 93,
EBC 83 93,
ENLT 62 93,
ESP 90 93,
EVRG 74 93,
FBIZ 92 93,
FWONA 67 93,
GDS 33 93,
GOLD 86 93,
GPOR 78 93,
GSHD 86 93,
IFS 90 93,
IGIC 72 93,
IRMD 84 93,
JHG 84 93,
LNKB 99 93,
MS 89 93,
MTSI 96 93,
NEM 88 93,
NYAX 64 93,
ODD 99 93,
OPOF 92 93,
OSPN 81 93,
OSW 73 93,
OWL 96 93,
RBBN 47 93,
RM 76 93,
RMD 95 93,
RSKD 81 93,
SSNC 84 93,
STEP 95 93,
TATT 60 93,
TSM 98 93,
TWO 81 93,
TZOO 98 93,
UNTY 91 93,
VIST 99 93,
WMG 74 93,
AAPL 87 92,
ABNB 76 92,
ADMA 81 92,
ALTR 95 92,
ARES 85 92,
BOSC 91 92,
BYD 92 92,
CBOE 78 92,
CG 82 92,
CIB 72 92,
CTAS 94 92,
CTBI 82 92,
DAO 75 92,
DGX 48 92,
DNOW 85 92,
DXPE 90 92,
DY 86 92,
EQBK 96 92,
FLEX 93 92,
FUNC 91 92,
G 85 92,
GMED 96 92,
GPI 75 92,
HRMY 94 92,
HWC 86 92,
IMAX 50 92,
JEF 83 92,
