Open,High,Low,Close,Adj Close,Volume
177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,179.4811248779297,104487900
182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,177.2032012939453,99310400
179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,172.48963928222656,94537600
172.6999969482422,175.3000030517578,171.63999938964844,172.0,169.61019897460938,96904000
172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,169.77781677246094,86709100
169.0800018310547,172.5,168.1699981689453,172.19000244140625,169.79754638671875,106765600
172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,172.6474151611328,76138300
176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.09117126464844,74805200
175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,169.79754638671875,84505800
171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,170.6653594970703,80440800
171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.44078063964844,90956700
170.0,171.0800018310547,165.94000244140625,166.22999572753906,163.9203643798828,94815000
166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.22427368164062,91420500
164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.15345764160156,122848900
160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.37442016601562,162294600
158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.55999755859375,115798400
163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.4712371826172,108275300
162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.0077362060547,121954600
165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,167.9634246826172,179935700
170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.35157775878906,115541600
174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.18394470214844,86213900
174.75,175.8800048828125,173.3300018310547,175.83999633789062,173.39683532714844,84914300
174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,170.49769592285156,89418100
171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,170.21136474609375,82465400
172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,169.49058532714844,77251200
171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,172.6205291748047,74829200
176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,174.05221557617188,71285000
174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,169.94476318359375,90865900
172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,166.5087432861328,98670700
167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,166.74571228027344,86185500
170.97000122070312,172.9499969482422,170.25,172.7899932861328,170.6062774658203,62527400
171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,170.36935424804688,61177400
171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,166.74571228027344,69589300
169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,165.18568420410156,82772700
164.97999572753906,166.69000244140625,162.14999389648438,164.32000732421875,162.2433624267578,91162800
165.5399932861328,166.14999389648438,159.75,160.07000732421875,158.04705810546875,90009200
152.5800018310547,162.85000610351562,152.0,162.74000549316406,160.68333435058594,141147500
163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,162.7666473388672,91974200
163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,163.03323364257812,95056600
164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.1374969482422,83474400
164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,164.45501708984375,79724800
168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.12921142578125,76678400
164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.10787963867188,83737200
163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.2867889404297,96418800
158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,155.45030212402344,131148300
161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,160.8906707763672,91454900
160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,156.5166473388672,105342000
158.92999267578125,159.27999877929688,154.5,154.72999572753906,152.77455139160156,96970100
151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,148.71646118164062,108732100
150.89999389648438,155.57000732421875,150.3800048828125,155.08999633789062,153.12997436523438,92964300
157.0500030517578,160.0,154.4600067138672,159.58999633789062,157.57313537597656,102300200
158.61000061035156,161.0,157.6300048828125,160.6199951171875,158.59011840820312,75615400
160.50999450683594,164.47999572753906,159.75999450683594,163.97999572753906,161.90765380859375,123511700
163.50999450683594,166.35000610351562,163.00999450683594,165.3800048828125,163.2899627685547,95811400
165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,166.68649291992188,81532000
167.99000549316406,172.63999938964844,167.64999389648438,170.2100067138672,168.0589141845703,98062700
171.05999755859375,174.13999938964844,170.2100067138672,174.07000732421875,171.8701629638672,90131400
173.8800048828125,175.27999877929688,172.75,174.72000122070312,172.5119171142578,80546200
172.1699981689453,175.72999572753906,172.0,175.60000610351562,173.38082885742188,90371900
176.69000244140625,179.00999450683594,176.33999633789062,178.9600067138672,176.6983642578125,100589400
178.5500030517578,179.61000061035156,176.6999969482422,177.77000427246094,175.52337646484375,92633200
177.83999633789062,178.02999877929688,174.39999389648438,174.61000061035156,172.4033203125,103049300
174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,172.10708618164062,78751300
174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,176.18492126464844,76468400
